"file","caption"
"image_00926.jpg","this flower has large white petals with no visible outer stamen"
"image_00805.jpg","the petals of the flower are yellow and white and curl around"
"image_00933.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00934.jpg","yellow and white tipped petals with large green pedicels."
"image_00860.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00809.jpg","leaves are green,flower is white in color with some yellow patches"
"image_00829.jpg","this flower has petals that are yellow with white tips"
"image_00925.jpg","this flower has white petals with yellow details, a reddish pedicel, and a greenish sepal."
"image_00884.jpg","a flower with yellow and white petals with no visible pistils."
"image_00927.jpg","a flower with five very smooth spoon shaped white and yellow petals."
"image_00889.jpg","the petals of the flower are white with inside that are yellow in color."
"image_00874.jpg","the flower has round white and yellow thick petals pointing in every direction."
"image_00782.jpg","this flower has 5 large, round, smooth petals that are sparse and overlaps eachother and the color of it's petals are white on the outside edge and turns more yellow towards the middle of the flower."
"image_00916.jpg","the main element of the flower shown is white petals on the outside with the inside being yellow."
"image_00888.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00886.jpg","this flower has petals that are yellow with white edges"
"image_00839.jpg","this flower has very smooth yellow and white petals as its main feature"
"image_00924.jpg","the flower has large petals with yellow center and white on the outer petal."
"image_00873.jpg","this flower has bright round white petals that fade into a bright yellow halfway through."
"image_00790.jpg","the flower shown has smooth yellow and white egg shaped petals"
"image_00791.jpg","the petals are white with large tints of yellow and the stigma is pink."
"image_00902.jpg","the petals on this flower are white blending to yellow."
"image_00928.jpg","this flower is yellow, white, and pink in color, with petals that are oval shaped."
"image_00845.jpg","this flower has petals that are pink with yellow shading"
"image_00923.jpg","this flower had petals that are yellow with white edges"
"image_00794.jpg","this flower has five smooth wide petals which are yellow at the center and gradate to white at the tips."
"image_00812.jpg","this delicate yellow and white flower has a dainty curl to the petals."
"image_00796.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00783.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00784.jpg","the flower has white petals that are thick and pinwheel shaped with yellow in the middle."
"image_00878.jpg","the flower has a smooth white petal with yellow spots on the center"
"image_00803.jpg","this flower has large white petals and a center that is bright yellow in color"
"image_00935.jpg","this flower has thick white and yellow petals as its main feature."
"image_00817.jpg","the bright yellow petals gradually fade into a white at the oval-shaped ends."
"image_00863.jpg","these interesting petals are white and yellow and very smooth."
"image_00875.jpg","this flower has small white rounded petals with a yellowish tone near the center ."
"image_00822.jpg","this flower has large white petals with a yellow center and no stamen on it"
"image_00897.jpg","the flower shown has a very smooth white and yellow petal"
"image_00867.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00834.jpg","this flower has five, rounded petals with yellow closer to pistil, which can't be seen, and white towards the outside."
"image_00832.jpg","the petals of these flowers are soft white and pale yellow and arranged in a fanlike shape, resting atop a pale pink pedicel."
"image_00904.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00938.jpg","the flower has thick petals that are white and yellow colored."
"image_00922.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00795.jpg","this flower has groupings of five petal off shoots that are butter yellow in the center and white around the edges."
"image_00801.jpg","these flowers is white and yellow in color and looks like rubber"
"image_00847.jpg","this flower has a a lot of white petals with a yellow center without any stamen"
"image_00835.jpg","this small white flower has waxy thick petals with yellow centers."
"image_00920.jpg","a creamy yellow flower with five petals forming a star shape."
"image_00811.jpg","this flower is white and yellow in color, with petals that are yellow towards the centers."
"image_00882.jpg","this flower has petals that are white with yellow centers."
"image_00909.jpg","this flower has petals that are pale blue with centers of yellow and pink."
"image_00842.jpg","this star-shaped flower has five petals that are mostly white with yellow closer towards the pistil, which remains unseen."
"image_00781.jpg","flower with white and yellow petals on a brown stem"
"image_00944.jpg","the flower features five soft white petals that each have a golden hue at their center to give the appearance of a yellow center."
"image_00931.jpg","this flower has five oval petals radiating from a yellow center which directly fade to white."
"image_00816.jpg","this flower has petals that are yellow with white edges"
"image_00806.jpg","what are the two different colors that are present on the petals of these flowers?"
"image_00830.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00815.jpg","the petals on this flower are yellow with white fringes."
"image_00807.jpg","the star shaped flower with petals bright yellow in the inside with a rim or bright white slightly turned in at the edge."
"image_00895.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00849.jpg","the flowers has a set of 5 white petals with its inner parts colored yellow."
"image_00814.jpg","this flower is yellow and white in color with five petals, and green pedecil."
"image_00917.jpg","this flower has petals that are yellow with white edges."
"image_00840.jpg","the flower petals are bright white in color with some yellow spoated patches on the inner side"
"image_00821.jpg","the flower shown has white petals as well as yellowish color inside"
"image_00858.jpg","this flower has petals that are white with yellow towards the insides"
"image_00856.jpg","a flower that has white oval shaped petals that are tipped with yellow toward the center"
"image_00905.jpg","this flower is yellow in color, with petals that are oval shaped."
"image_00885.jpg","this flower has large white petals and has yellow in the center of it"
"image_00853.jpg","this flower has petals that are yellow with white tips"
"image_00940.jpg","the flower has smooth white petals with yellow on the inside"
"image_00864.jpg","this flower has petals that are white with yellow centers."
"image_00901.jpg","this flower has five large smooth white petals with yellow centers."
"image_00883.jpg","this flower has petals that are white with a yellow inside"
"image_00871.jpg","this flower has five large, rounded yellow petals with hints of white at their tips."
"image_00865.jpg","this flower has petals that are yellow with white edges"
"image_00820.jpg","this white and yellow flower has thick petals and a hidden stigma."
"image_00843.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00877.jpg","this flower has petals that are white with shades of yellow and pink"
"image_00921.jpg","the petals of this flower are white and yellow with a short stigma"
"image_00799.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00906.jpg","this flower is white and yellow in color, and has petals that are oriented like a star."
"image_00866.jpg","only five petals are seen on this blossom, they are white with bright yellow at the base."
"image_00915.jpg","this flower is white and yellow in color, with petals that are multi colored and oval shaped."
"image_00852.jpg","bright yellow to white petals surround a brown pedicel"
"image_00876.jpg","white petals that become yellow as they go to the center where there is an orange stamen."
"image_00804.jpg","leaves are broad, flat and dark green, while the flower has large yellow and white petals."
"image_00937.jpg","this flower is white and yellow in color, with petals that are multi colored."
"image_00844.jpg","five yellow and white petals are arranged radially and the pistil is completely hidden."
"image_00850.jpg","this flower is yellow and white in color, with petals that are white on the edges."
"image_00841.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00891.jpg","this flower has five smooth white petals with slightly pointed edges and yellow centers."
"image_00879.jpg","the flower has white petals with yellow middles as well."
"image_00792.jpg","this flower has petals that are yellow with white edges."
"image_00861.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00919.jpg","the flower shown has smooth white and yellow egg like petals"
"image_00802.jpg","this flower is star shaped and the inside of petals is yellow."
"image_00880.jpg","a flower that has white petals and a yellow center"
"image_00900.jpg","the petals on this flower are yellow with white fringes."
"image_00914.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00788.jpg","these small waxy flowers have five curved petals."
"image_00793.jpg","the flower hs five petals and it has two colors white and yellow."
"image_00786.jpg","this flower has five wide, smooth white petals with slightly pointed edges and yellow centers."
"image_00818.jpg","these yellow and white flowers have petals that look twisted."
"image_00831.jpg","a stumpy multi flowered plant with cream yellow and white pedals."
"image_00857.jpg","a yellow and white flower with curved petals and yellow stamen."
"image_00836.jpg","this large flower has five smooth, rounded yellow petals with white edges."
"image_00896.jpg","this flower is white pink and yellow in color, with petals that are pink on the edges."
"image_00810.jpg","this double colored flower has a whirl of overlapping petals with white and yellow"
"image_00833.jpg","the petals on this flower are yellow with white fringes."
"image_00808.jpg","this flower has a white petal with a yellow center with no visible stamen"
"image_00848.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00887.jpg","this flower has a white petal with a yellow center and pink stripe on the bottom"
"image_00868.jpg","this flower is white and yellow in color, with petals that are oval shaped."
"image_00943.jpg","a flower with white and yellow twisted petals surrounding no visible stamen and green pedicel."
"image_00945.jpg","the petals on this flower are yellow with white fringes."
"image_00825.jpg","this flower has petals that are yellow and in a spiral shape"
"image_00854.jpg","a flower with twisted yellow and white petals, red sepals, and brown pedicel"
"image_00912.jpg","a bright white and yellow flower with a dark yellow stigma."
"image_00824.jpg","the flower shown has petals which are smooth and white and yellow in color"
"image_00827.jpg","this flower is white and yellow in color, with petals that are oval shaped and multicolored."
"image_00838.jpg","this five petal flower is primarily white with petals that slightly overlap in the center and are reddish orange at the very center which is followed by yellow then white at the tips."
"image_00898.jpg","a white and yellow pinwheel shaped flower with hidden stamen."
"image_00911.jpg","this flower has smooth petals that are white and yellow."
"image_00936.jpg","this flower is yellow and white in color, with petals that are oval shaped."
"image_00899.jpg","this flower has the whirl of five petals which are white at the top and yellow at the bottom"
"image_00881.jpg","the flower has petals that are yellow with white fringes."
"image_00903.jpg","this flower has petals that are white and yellow shading"
